  0.9500000000000000D+02 -0.4774757808193461D+00
  0.9550000000000000D+02  0.2220390481728404D-02
  0.9600000000000000D+02  0.4813729327540505D+00
  0.9650000000000000D+02  0.8426685926202350D+00
  0.9700000000000000D+02  0.9976495919183909D+00
  0.9750000000000000D+02  0.9083711768690177D+00
  0.9800000000000000D+02  0.5966918171697799D+00
  0.9850000000000000D+02  0.1389214902727370D+00
  0.9900000000000000D+02 -0.3528616624994258D+00
  0.9950000000000000D+02 -0.7582519738110213D+00
